iter	Passed	Remaining
1214	9330	374656
1215	9338	374657
1216	9346	374658
1217	9354	374642
1218	9361	374622
1219	9369	374610
1220	9376	374601
1221	9384	374605
1222	9392	374590
1223	9400	374596
1224	9407	374578
1225	9414	374545
1226	9422	374540
1227	9430	374538
1228	9438	374547
1229	9446	374539
1230	9453	374517
1231	9460	374503
1232	9468	374495
1233	9476	374484
1234	9483	374480
1235	9491	374480
1236	9499	374464
1237	9506	374442
1238	9514	374428
1239	9521	374411
1240	9529	374399
1241	9536	374381
1242	9544	374366
1243	9551	374359
1244	9559	374338
1245	9566	374335
1246	9574	374334
1247	9582	374316
1248	9589	374315
1249	9597	374297
1250	9605	374295
1251	9612	374278
1252	9620	374275
1253	9628	374277
1254	9636	374276
1255	9643	374262
1256	9651	374251
1257	9658	374234
1258	9665	374209
1259	9674	374216
1260	9681	374213
1261	9689	374200
1262	9697	374194
1263	9704	374190
1264	9712	374192
1265	9719	374165
1266	9727	374151
1267	9734	374129
1268	9742	374122
1269	9749	374102
1270	9757	374094
1271	9764	374077
1272	9772	374065
1273	9780	374065
1274	9787	374039
1275	9795	374027
1276	9802	374009
1277	9810	374006
1278	9817	373974
1279	9824	373952
1280	9832	373941
1281	9840	373947
1282	9847	373932
1283	9855	373909
1284	9862	373891
1285	9869	373875
1286	9877	373875
1287	9885	373875
1288	9894	373893
1289	9901	373877
1290	9909	373879
1291	9916	373860
1292	9924	373848
1293	9931	373838
1294	9939	373826
1295	9947	373821
1296	9954	373800
1297	9962	373784
1298	9969	373767
1299	9977	373775
1300	9985	373767
1301	9993	373772
1302	10001	373778
1303	10008	373766
1304	10016	373755
1305	10024	373752
1306	10032	373752
1307	10039	373745
1308	10047	373746
1309	10055	373736
1310	10062	373723
1311	10070	373724
1312	10078	373721
1313	10085	373702
1314	10093	373694
1315	10101	373693
1316	10109	373689
1317	10117	373688
1318	10125	373690
1319	10132	373692
1320	10140	373688
1321	10149	373703
1322	10156	373686
1323	10164	373677
1324	10171	373670
1325	10180	373692
1326	10188	373702
1327	10195	373688
1328	10203	373674
1329	10211	373674
1330	10218	373664
1331	10227	373673
1332	10234	373671
1333	10243	373690
1334	10250	373675
1335	10258	373663
1336	10266	373658
1337	10274	373670
1338	10281	373654
1339	10289	373664
1340	10297	373666
1341	10305	373668
1342	10313	373675
1343	10321	373679
1344	10330	373690
1345	10338	373702
1346	10346	373702
1347	10353	373684
1348	10361	373692
1349	10369	373679
1350	10376	373665
1351	10384	373650
1352	10392	373650
1353	10400	373649
1354	10407	373637
1355	10415	373629
1356	10423	373623
1357	10429	373590
1358	10437	373587
1359	10445	373585
1360	10453	373577
1361	10461	373573
1362	10468	373553
1363	10476	373573
1364	10484	373563
1365	10492	373555
1366	10499	373537
1367	10507	373523
1368	10514	373507
1369	10521	373485
1370	10529	373473
1371	10536	373453
1372	10544	373449
1373	10552	373442
1374	10559	373428
1375	10567	373429
1376	10575	373419
1377	10583	373422
1378	10590	373414
1379	10598	373401
1380	10605	373387
1381	10614	373395
1382	10621	373384
1383	10629	373381
1384	10637	373377
1385	10645	373381
1386	10652	373372
1387	10660	373377
1388	10669	373396
1389	10676	373383
1390	10684	373378
1391	10692	373362
1392	10699	373352
1393	10707	373349
1394	10715	373343
1395	10723	373353
1396	10731	373346
1397	10738	373335
1398	10746	373331
1399	10754	373329
1400	10762	373327
1401	10769	373323
1402	10777	373312
1403	10785	373317
1404	10793	373302
1405	10800	373281
1406	10807	373261
1407	10815	373253
1408	10823	373263
1409	10831	373260
1410	10839	373256
1411	10846	373249
1412	10854	373234
1413	10862	373234
1414	10869	373215
1415	10877	373214
1416	10884	373195
1417	10892	373176
1418	10899	373157
1419	10906	373135
1420	10914	373128
1421	10922	373124
1422	10929	373103
1423	10937	373103
1424	10945	373093
1425	10952	373076
1426	10960	373066
1427	10967	373048
1428	10975	373043
1429	10983	373043
1430	10990	373028
1431	10998	373022
1432	11005	373012
1433	11013	373011
1434	11021	373008
1435	11029	372999
1436	11036	372983
1437	11044	372973
1438	11051	372942
1439	11058	372933
1440	11066	372905
1441	11073	372889
1442	11080	372873
1443	11088	372854
1444	11095	372841
1445	11103	372837
1446	11111	372824
1447	11119	372830
1448	11126	372820
1449	11134	372822
1450	11142	372809
1451	11149	372800
1452	11157	372780
1453	11165	372793
1454	11173	372789
1455	11180	372767
1456	11187	372739
1457	11195	372738
1458	11203	372724
1459	11210	372701
1460	11217	372687
1461	11225	372668
1462	11232	372653
1463	11240	372660
1464	11248	372651
1465	11255	372638
1466	11263	372639
1467	11271	372632
1468	11279	372626
1469	11286	372611
1470	11294	372602
1471	11301	372591
1472	11309	372580
1473	11316	372565
1474	11324	372554
1475	11331	372539
1476	11339	372527
1477	11347	372520
1478	11354	372508
1479	11361	372485
1480	11369	372476
1481	11377	372474
1482	11384	372465
1483	11393	372471
1484	11401	372471
1485	11409	372478
1486	11416	372471
1487	11424	372451
1488	11431	372446
1489	11439	372425
1490	11446	372406
1491	11454	372399
1492	11461	372388
1493	11469	372381
1494	11477	372372
1495	11484	372352
1496	11491	372339
1497	11499	372323
1498	11507	372316
1499	11514	372312
1500	11522	372300
1501	11530	372305
1502	11538	372310
1503	11546	372299
1504	11553	372279
1505	11561	372275
1506	11569	372283
1507	11577	372283
1508	11584	372275
1509	11592	372273
1510	11600	372261
1511	11607	372253
1512	11615	372238
1513	11622	372224
1514	11630	372208
1515	11637	372193
1516	11645	372187
1517	11653	372183
1518	11661	372177
1519	11668	372176
1520	11676	372172
1521	11684	372172
1522	11692	372160
1523	11699	372142
1524	11707	372132
1525	11714	372124
1526	11722	372119
1527	11730	372121
1528	11738	372109
1529	11745	372100
1530	11753	372088
1531	11760	372070
1532	11767	372051
1533	11775	372045
1534	11783	372040
1535	11790	372026
1536	11798	372013
1537	11805	371995
1538	11813	371989
1539	11821	371978
1540	11829	371985
1541	11836	371966
1542	11844	371962
1543	11851	371955
1544	11859	371946
1545	11867	371950
1546	11875	371944
1547	11882	371933
1548	11890	371929
1549	11898	371916
1550	11905	371908
1551	11913	371907
1552	11921	371904
1553	11929	371898
1554	11936	371887
1555	11944	371878
1556	11951	371860
1557	11959	371844
1558	11966	371829
1559	11974	371810
1560	11981	371805
1561	11989	371790
1562	11997	371790
1563	12005	371793
1564	12012	371783
1565	12020	371778
1566	12028	371783
1567	12036	371771
1568	12044	371772
1569	12051	371764
1570	12059	371742
1571	12067	371748
1572	12075	371751
1573	12082	371742
1574	12090	371743
1575	12098	371727
1576	12105	371720
1577	12113	371705
1578	12120	371688
1579	12128	371681
1580	12135	371662
1581	12143	371648
1582	12150	371640
1583	12158	371633
1584	12166	371628
1585	12173	371615
1586	12181	371603
1587	12189	371605
1588	12197	371601
1589	12205	371608
1590	12213	371605
1591	12220	371595
1592	12228	371592
1593	12236	371596
1594	12244	371597
1595	12252	371593
1596	12259	371580
1597	12267	371575
1598	12275	371578
1599	12283	371561
1600	12290	371562
1601	12299	371565
1602	12306	371561
1603	12314	371553
1604	12321	371538
1605	12329	371527
1606	12337	371516
1607	12344	371502
1608	12352	371492
1609	12359	371477
1610	12367	371463
1611	12374	371448
1612	12381	371435
1613	12389	371430
1614	12397	371420
1615	12404	371403
1616	12412	371402
1617	12420	371392
1618	12428	371401
1619	12436	371412
1620	12444	371418
1621	12452	371411
1622	12460	371408
1623	12467	371398
1624	12475	371398
1625	12483	371391
1626	12491	371387
1627	12498	371375
1628	12506	371364
1629	12514	371353
1630	12521	371340
